mode,lambda_q,lambda_sparse,lambda_binary,lambda_coverage,valid_acc,valid_auc,valid_f1,valid_rmse,valid_bce,test_acc,test_auc,test_f1,test_rmse,test_bce,optimistic_acc,optimistic_auc,optimistic_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,q_change_from_expert,q_change_0_to_1,q_change_1_to_0,q_density,best_epoch,status,result_dir,metrics_path
lq_0p1_ls_0p01_lb_0p8,0.1,0.01,0.8,0.0,0.7454264670943217,0.833981949514627,0.719098178004981,0.40859929234563375,0.49509254379102774,0.735032074126871,0.824548667549552,0.6979893033647011,0.4137813565973521,0.5030836316378685,0.7454264670943217,0.833981949514627,0.40859929234563375,0.7090909090909091,0.5154639175257731,0.746268656716418,0.6097560975609756,0.8588430397034437,0.2909090909090909,64,47,17,0.4409090909090909,6,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p01_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p01_lb_0p8\metrics.json
lq_0p1_ls_0p05_lb_0p3,0.1,0.05,0.3,0.0,0.7463768115942029,0.8360892612350699,0.7198530376590998,0.4081919247302535,0.4928758046891433,0.7368733665953908,0.8265156330661878,0.6993756786102063,0.4132995639594672,0.501294406907129,0.7463768115942029,0.8360892612350699,0.4081919247302535,0.75,0.5857142857142857,0.6119402985074627,0.5985401459854015,0.7882157838259681,0.25,55,29,26,0.3181818181818182,7,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p05_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p05_lb_0p3\metrics.json
lq_0p1_ls_0p05_lb_0p5,0.1,0.05,0.5,0.0,0.7487526728439059,0.8353820879704444,0.7282538866760889,0.4066133491121222,0.49285066333058,0.7394868139700641,0.8278210195407117,0.7092283214001591,0.40987358950041836,0.4973836989280233,0.7487526728439059,0.8353820879704444,0.4066133491121222,0.7818181818181819,0.6338028169014085,0.6716417910447762,0.6521739130434783,0.8174812213442592,0.21818181818181817,48,26,22,0.32272727272727275,3,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p05_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p05_lb_0p5\metrics.json
lq_0p1_ls_0p05_lb_0p8,0.1,0.05,0.8,0.0,0.7444761225944405,0.8343598785504175,0.7209030751265084,0.40737919563219005,0.4945083387667994,0.7375267284390592,0.8255982035032876,0.7045135406218656,0.41166920852862293,0.5014211461236462,0.7444761225944405,0.8343598785504175,0.40737919563219005,0.9545454545454546,0.9384615384615385,0.9104477611940298,0.9242424242424242,0.9754170324846356,0.045454545454545456,10,4,6,0.29545454545454547,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p05_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p05_lb_0p8\metrics.json
lq_0p1_ls_0p1_lb_0p3,0.1,0.1,0.3,0.0,0.750415775718698,0.8370468911020069,0.7325270528325907,0.40558634537655014,0.48960742676572816,0.7398431931575196,0.8291066990981815,0.7122207621550591,0.4096292624731718,0.49596563919781944,0.750415775718698,0.8370468911020069,0.40558634537655014,0.740909090909091,0.5892857142857143,0.4925373134328358,0.5365853658536586,0.7541703248463565,0.2590909090909091,57,23,34,0.2545454545454545,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p1_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p1_lb_0p3\metrics.json
lq_0p1_ls_0p1_lb_0p5,0.1,0.1,0.5,0.0,0.7474459491565693,0.8396285866666179,0.7193769799366421,0.4032512435349749,0.48505074671918436,0.7415656925635543,0.8340546878574542,0.702169895270039,0.4046398477462369,0.48617195350470854,0.7474459491565693,0.8396285866666179,0.4032512435349749,0.7363636363636363,0.8,0.1791044776119403,0.2926829268292683,0.6560335577016876,0.2636363636363636,58,3,55,0.06818181818181818,7,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p1_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p1_lb_0p5\metrics.json
lq_0p1_ls_0p1_lb_0p8,0.1,0.1,0.8,0.0,0.7491090520313614,0.8400626047166458,0.73474001507159,0.40315224820135964,0.48485545728300705,0.7404965550011879,0.8329946232540062,0.7177466244589443,0.40573453850435176,0.4880497209206855,0.7491090520313614,0.8400626047166458,0.40315224820135964,0.8181818181818182,0.8648648648648649,0.47761194029850745,0.6153846153846154,0.8236269632231001,0.18181818181818182,40,5,35,0.16818181818181818,3,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p1_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p1_lb_0p8\metrics.json
lq_0p1_ls_0p2_lb_0p3,0.1,0.2,0.3,0.0,0.748039914468995,0.8393612347496201,0.7293607247671303,0.4034592449404558,0.48471074274787423,0.7402589688762177,0.8321230344787426,0.7117906808146048,0.4063357114384277,0.48864580217616893,0.748039914468995,0.8393612347496201,0.4034592449404558,0.7045454545454546,0.6,0.08955223880597014,0.15584415584415584,0.815822846551556,0.29545454545454547,65,4,61,0.045454545454545456,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p2_lb_0p3,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p2_lb_0p3\metrics.json
lq_0p1_ls_0p2_lb_0p5,0.1,0.2,0.5,0.0,0.7478023283440247,0.8394051740028734,0.7296574557493951,0.40381282681637853,0.4860458051794505,0.7413875029698266,0.8331179124423046,0.7135526315789473,0.4059624114937041,0.4885759892289783,0.7478023283440247,0.8394051740028734,0.40381282681637853,0.7,0.6,0.04477611940298507,0.08333333333333333,0.7828504536142815,0.3,66,2,64,0.022727272727272728,4,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p2_lb_0p5,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p2_lb_0p5\metrics.json
lq_0p1_ls_0p2_lb_0p8,0.1,0.2,0.8,0.0,0.7457828462817772,0.8393789591068206,0.7188649500788229,0.4032753401935103,0.4855379508312351,0.7426348301259207,0.8343337115174243,0.7052581457043738,0.4042709493441973,0.4859800919860548,0.7457828462817772,0.8393789591068206,0.4032753401935103,0.7318181818181818,0.9,0.13432835820895522,0.23376623376623376,0.6852989952199785,0.2681818181818182,59,1,58,0.045454545454545456,7,success,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p2_lb_0p8,Q_GNCDM\results\math1_lambda_grid\lq_0p1_ls_0p2_lb_0p8\metrics.json
