lambda_q,lambda_sparse,lambda_binary,lambda_coverage,response_acc,response_auc,response_rmse,valid_acc,valid_auc,valid_rmse,q_hat_acc_vs_true,q_hat_precision_vs_true,q_hat_recall_vs_true,q_hat_f1_vs_true,q_hat_auc_vs_true,q_hat_hamming_vs_true,deleted_edge_recovery,added_edge_suppression,q_change_from_noise,q_change_0_to_1,q_change_1_to_0,loss_total,loss_rec,loss_weak_q,loss_sparse,loss_binary,loss_coverage,status,result_dir,metrics_path
0.05,0.2,0.05,0.0,0.6433333333333333,0.6908662826899128,0.47640503594610056,0.6333333333333333,0.6795089285714285,0.487050436981513,0.8125,0.8235294117647058,0.25,0.3835616438356164,0.876261645962733,0.1875,0.0,0.8333333333333334,38,2,36,0.536587322751681,0.4954669069160115,0.14467867915377472,0.15006508542732758,0.07746926266135591,0.01420173595066775,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p05,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p05\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p05\metrics.json
0.05,0.2,0.1,0.0,0.64,0.6912526685643123,0.47569594225517786,0.6383333333333333,0.6819642857142857,0.4866643123944291,0.8,0.8333333333333334,0.17857142857142858,0.29411764705882354,0.8830551242236024,0.2,0.0,1.0,40,2,38,0.5371778742833571,0.49406610971147363,0.14854425372499408,0.14169497539599737,0.07345563478090546,0.030598666772923687,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p1,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p1\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p1\metrics.json
0.05,0.2,0.2,0.0,0.6458333333333334,0.6920532378580323,0.47378338725397123,0.6433333333333333,0.6859040178571428,0.4833611442986835,0.7958333333333333,0.8888888888888888,0.14285714285714285,0.24615384615384617,0.8692740683229814,0.20416666666666666,0.0,1.0,41,1,40,0.5464809383406783,0.501449750679912,0.15583270878502817,0.11989203580852711,0.06630573365272897,0.10241061482917178,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p2,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p2\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p2\metrics.json
0.05,0.2,0.3,0.0,0.6241666666666666,0.6848564534780289,0.47861137432046885,0.6316666666666667,0.6847544642857142,0.49006170568370266,0.7958333333333333,0.8888888888888888,0.14285714285714285,0.24615384615384617,0.8152173913043479,0.20416666666666666,0.0,1.0,47,1,46,0.5485802030924595,0.505961839448322,0.1703894440874909,0.0913853006380977,0.05273942971094088,0.2850765956170631,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p3,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p3\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p3\metrics.json
0.05,0.2,0.4,0.0,0.6316666666666667,0.6820600204589929,0.48445238541139163,0.64,0.6845200892857143,0.4831461463139411,0.7958333333333333,0.8888888888888888,0.14285714285714285,0.24615384615384617,0.7372864906832297,0.20416666666666666,0.0,1.0,50,1,49,0.5642450948556265,0.5246053026481108,0.18167756226929752,0.06790803372859955,0.042435781860893425,0.4571445904897921,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p4,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p4\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p4\metrics.json
0.05,0.2,0.5,0.0,0.6366666666666667,0.6921616482832236,0.4722394488478195,0.6383333333333333,0.6747544642857143,0.4781251733886664,0.7666666666666667,0.0,0.0,0.0,0.6514945652173912,0.23333333333333334,0.0,1.0,57,0,57,0.6548977720014977,0.6161349271283005,0.18714510581710123,0.04629385014149276,0.04029364392838695,0.6296492011258097,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p5,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p5\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p5\metrics.json
0.05,0.2,0.6,0.0,0.6166666666666667,0.6901880225938446,0.49629483514510897,0.635,0.6655691964285715,0.4793639867979197,0.7666666666666667,0.0,0.0,0.0,0.8191964285714285,0.23333333333333334,0.0,1.0,57,0,57,0.6789140620014884,0.6403852294791829,0.19264952093362808,0.038649929969599754,0.03527728101295052,0.6908005548245979,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p6,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p6\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p6\metrics.json
0.05,0.2,0.7,0.0,0.5816666666666667,0.6886299702010319,0.49722974422096655,0.6216666666666667,0.6615178571428572,0.4805987776293772,0.7666666666666667,0.0,0.0,0.0,0.829580745341615,0.23333333333333334,0.0,1.0,57,0,57,0.6811821776809115,0.6457093981179324,0.19987809025880063,0.030002126498430065,0.027826362007269352,0.7599829977208917,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p7,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p7\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p7\metrics.json
0.05,0.2,0.8,0.0,0.645,0.6890469333748444,0.4975448462636231,0.62,0.6600334821428572,0.48086766039941914,0.7666666666666667,0.0,0.0,0.0,0.7685364906832298,0.23333333333333334,0.0,1.0,57,0,57,0.6811510694749427,0.6483094078121763,0.20521107722412457,0.02376126672959689,0.022286067180561298,0.8099098575837684,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p8,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p8\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p8\metrics.json
0.05,0.2,0.9,0.0,0.6408333333333334,0.6880253735990037,0.49812253335550544,0.6233333333333333,0.6584486607142858,0.4812185248807242,0.7666666666666667,0.0,0.0,0.0,0.7696040372670807,0.23333333333333334,0.0,1.0,57,0,57,0.6820155346032345,0.6505968444275133,0.20845887922879422,0.019982491732772553,0.01888805560090325,0.8401400672666954,success,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p9,C:\Users\YAN_SHU_YU\Desktop\Generative-CD\Q_GNCDM\results\weak_q_lambda_sweep\lq_0p05_ls_0p2_lb_0p9\seed_2026\noise_0.20\weak-q_lq_0p05_ls_0p2_lb_0p9\metrics.json
